Year,LFWRI,TASem,UAF,PCF,LFWRI_S,TASem_S,UAF_S,PCF_S,ButtsRcsH,ButtsSpsH,OdntsRcsH,OdntsSpsH,BombusRcsH,BombusSpsH,SolanRecsH,SolanSpsH,ButtsRcsO,ButtsSpsO,OdntsRcsO,OdntsSpsO,BombusRcsO,BombusSpsO,SolanRecsO,SolanSpsO,ButtsRcsT,ButtsSpsT,OdntsRcsT,OdntsSpsT,BombusRcsT,BombusSpsT,SolanRecsT,SolanSpsT,ButterfliesSpHDegResid,OdonataSpHDegResids,BeesSpSHDegResids,SolanumSpHDResids,ButterfliesSpODegResid,OdonatesSpODegResids,BeesSpODegResids,SolanaceaeSpODResids,ButterfliesSpTDegResid,OdonataSpTDegResids,BeesSpTDegResids,SolanaceaSpTDResids
2001,158267,NA,0.91,NA,-1.039254115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,158812,NA,0.45,NA,-1.029667177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,152535,NA,0.63,NA,-1.140084074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,169830,NA,0.72,NA,-0.835852716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,206863,NA,1.51,NA,-0.184415891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,179070,NA,1.48,NA,-0.67331454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,218643,113823,1.95,NA,0.022802693,0.441651164,0.727477422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,184335,109868,1.93,10459480,-0.580699443,0.171178522,0.694410266,1.622595776,0.29,0.246,0.239,0.22,0.5,0.5,NA,NA,0.237,0.207,0.257,0.237,0.5,0.5,NA,NA,0.1874763,0.15855107,0.2168287,0.194,0.5,0.5,NA,NA,0.1659,-0.21929,-0.05157,NA,0.021726,-0.23923,-0.03314,NA,-0.0111,-0.3064,-0.02952,NA
2009,281119,110333,1.95,9111485,1.121799996,0.202978719,0.727477422,-0.909499903,0.257,0.247,0.383,0.339,0.517,0.517,NA,NA,0.269,0.224,0.415,0.374,0.517,0.517,NA,NA,0.3035182,0.26513955,0.4008286,0.336,0.517,0.5166667,NA,NA,-0.2059,0.374377,-0.02847,NA,-0.196472,0.15925,-0.00587,NA,0.0315,0.1704,0.00651,NA
2010,166830,113880,2.04,9975294,-0.888624851,0.445549253,0.876279622,0.713092938,0.395,0.223,0.402,0.37,0.717,0.717,NA,NA,0.441,0.218,0.41,0.369,0.754,0.737,NA,NA,0.2071039,0.15137907,0.3886428,0.351,0.797619,0.781746,NA,NA,0.2763,-0.311723,-0.00537,NA,0.358193,-0.31727,-0.04109,NA,-0.0455,-0.3235,-0.00507,NA
2011,186829,118649,2.1,8766907,-0.536828208,0.771689336,0.975481089,-1.556760809,0.371,0.316,0.303,0.297,0.778,0.778,NA,NA,0.366,0.304,0.29,0.282,0.778,0.778,NA,NA,0.3250216,0.25878054,0.3023036,0.2779057,0.7777778,0.7777778,NA,NA,0.0896,-0.37744,0.01773,NA,0.15105,-0.26278,0.04868,NA,0.1007,-0.0934,0.07858,NA
2012,174713,116478,1.95,9733658,-0.749957271,0.62322003,0.727477422,0.259199955,0.206,0.194,0.263,0.25,0.491,0.384,0.223,0.198,0.171,0.159,0.239,0.2,0.491,0.384,0.211,0.181,0.1692455,0.15369941,0.2160645,0.1895527,0.3453846,0.264359,2.05,1.687,0.0662,0.131126,-0.0306,-0.07702,0.123566,0.33686,0.00453,0.06132,0.2527,0.4955,-0.01873,0.05645
2013,218915,99681,1.9,9805578,0.027587367,-0.525485145,0.644809533,0.39429565,0.226,0.211,0.352,0.341,0.526,0.487,0.302,0.283,0.198,0.17,0.266,0.255,0.575,0.508,0.297,0.282,0.1093745,0.0954608,0.1675258,0.1505967,0.5277778,0.4444444,1.7,1.484,-0.2064,-0.211908,0.01265,-0.11999,-0.217161,-0.15511,-0.01343,-0.0625,-0.174,-0.3758,0.0099,-0.05775
2014,170605,103214,1.73,10197589,-0.822219914,-0.283872037,0.363738711,1.130655472,0.207,0.192,0.248,0.212,0.615,0.469,0.239,0.229,0.154,0.137,0.218,0.183,0.644,0.473,0.248,0.235,0.1362386,0.11369052,0.1885393,0.1493035,0.5961377,0.4252713,1.44,1.253,-0.1355,0.434524,0.0656,-0.09971,-0.123263,0.44904,0.13051,-0.19102,-0.0254,0.6087,0.04681,-0.20085
2015,197534,107883,1.95,10000892,-0.34851964,0.035429295,0.727477422,0.761176636,0.161,0.134,0.352,0.311,0.81,0.48,0.283,0.244,0.146,0.111,0.341,0.285,0.655,0.422,0.254,0.217,0.1461784,0.11445779,0.2996799,0.2600213,0.676,0.3062784,2.14,1.591,-0.0508,0.150316,0.07888,0.24335,-0.106239,0.15648,0.02272,0.14668,-0.0081,0.1576,-0.08601,0.22505
2016,273930,104536,1.95,10260493,0.995340369,-0.193463735,0.727477422,1.248815366,0.182,0.162,0.352,0.307,0.696,0.511,0.285,0.263,0.176,0.153,0.297,0.257,0.617,0.406,0.258,0.225,0.1656001,0.12944518,0.2582556,0.204,0.5957602,0.3893692,2.02,1.392,-0.1046,0.099383,0.05839,0.13581,-0.07778,0.08361,0.02985,0.23611,-0.0984,0.0298,0.05138,0.11455
2017,298635,115691,2.22,9865991,1.429918901,0.569399052,1.173884022,0.507776409,0.187,0.16,0.281,0.247,0.52,0.368,0.284,0.234,0.169,0.139,0.222,0.185,0.468,0.254,0.257,0.19,0.1451618,0.10918657,0.242708,0.1884272,0.4940502,0.2860337,2.28,1.329,-0.059,0.00241,0.01964,0.07786,-0.055696,-0.02697,-0.11864,0.02176,-0.1264,-0.049,0.03418,0.14031
2018,267179,123552,2.35,9426335,0.876585475,1.106993347,1.388820533,-0.318080555,0.193,0.163,0.345,0.289,0.594,0.424,0.308,0.261,0.172,0.138,0.307,0.246,0.534,0.328,0.288,0.229,0.1987622,0.15603377,0.3078358,0.2294208,0.6057085,0.3560734,1.85,1.029,-0.0562,0.096338,-0.04213,-0.01788,-0.080604,0.04135,-0.00745,-0.05114,-0.0899,-0.3002,-0.00274,-0.07175
2019,327305,112866,0.9,9058298,1.934244605,0.376204307,-1.008548244,-1.009407227,0.184,0.152,0.317,0.269,0.534,0.362,0.33,0.263,0.16,0.116,0.292,0.238,0.507,0.294,0.286,0.207,0.1972839,0.13005236,0.2731381,0.1968358,0.5445522,0.2781908,1.81,0.758,-0.0343,0.152987,-0.05579,-0.09921,-0.039108,0.07944,-0.06649,-0.22206,-0.0247,0.1744,-0.07463,-0.2542
2020,299299,99260,0.84,9555894,1.441599134,-0.554276291,-1.107749711,-0.074714827,0.202,0.159,0.343,0.297,0.676,0.413,0.384,0.312,0.192,0.133,0.268,0.217,0.622,0.356,0.341,0.254,0.2200764,0.14381845,0.2594047,0.1942549,0.6044059,0.2881271,2.15,0.917,0.0481,0.027853,-0.02986,0.06288,0.036002,0.01564,-0.01561,0.02212,0.1197,-0.0207,-0.09282,-0.00777
2021,189046,60760,0.86,9431131,-0.4978296,-3.187195816,-1.074682555,-0.309071671,0.229,0.19,0.333,0.276,0.636,0.382,0.362,0.293,0.208,0.147,0.253,0.192,0.679,0.374,0.313,0.224,0.2290936,0.14747439,0.2277553,0.1454773,0.6457604,0.2190769,1.9,0.808,0.0444,0.000354,0.01482,-0.00579,0.068571,-0.06563,0.0693,-0.00166,0.0428,-0.0201,-0.04143,-0.02784
2022,178845,NA,0.9,9196992,-0.67727245,NA,NA,NA,0.226,0.19,0.344,0.274,0.634,0.401,0.305,0.239,0.216,0.159,0.304,0.222,0.589,0.336,0.278,0.193,0.1872465,0.09733228,0.2775476,0.1550202,0.7219533,0.3343728,2.18,0.676,0.0325,0.019213,-0.02723,-0.08477,-0.000773,0.03742,-0.02481,-0.07303,-0.0452,-0.0457,0.00676,-0.07181
2023,226363,NA,NA,8684694,0.158602987,NA,NA,NA,0.211,0.159,0.353,0.282,0.684,0.393,0.338,0.247,0.206,0.122,0.316,0.218,0.577,0.318,0.305,0.191,0.2134585,0.11290904,0.2881763,0.1469632,0.6375484,0.27754,2.15,0.662,0.0573,-0.08257,0.01534,-0.04168,0.058967,-0.00372,0.01749,-0.01984,0.0586,0.0386,0.06724,0.00206
2024,330819,NA,NA,,1.996058366,NA,NA,NA,0.227,0.159,0.365,0.302,0.672,0.361,0.37,0.27,0.229,0.132,0.304,0.224,0.66,0.297,0.358,0.223,0.2449349,0.09974692,0.2686056,0.154,0.677,0.264,2.19,0.725,0.0724,-0.285949,-0.01204,0.02614,0.079021,-0.28836,0.00346,0.13324,0.0426,-0.1404,0.04959,0.15355
